Sunshine,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,_Location_type,RainTomorrow
7.6111775206611565,48.0,17.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,32.0,20.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,44.0,12.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,36.0,17.0,4.4474612602152455,1.0,Dry Location,Yes
7.6111775206611565,47.0,22.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,24.0,16.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,46.0,27.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,48.0,24.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,48.0,12.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,42.0,32.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,57.0,80.0,7.0,8.0,Dry Location,Yes
7.6111775206611565,52.0,27.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,51.0,12.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,46.0,11.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,38.0,12.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,51.0,30.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,51.0,32.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,46.0,29.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,63.0,11.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,45.0,20.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,56.0,23.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,47.0,31.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,50.0,33.0,1.0,6.0,Dry Location,No
7.6111775206611565,60.0,20.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,61.0,36.0,5.0,2.0,Dry Location,No
7.6111775206611565,51.0,31.0,4.4474612602152455,2.0,Dry Location,No
7.6111775206611565,53.0,27.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,45.0,13.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,49.0,31.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,46.0,28.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,52.0,23.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,64.0,23.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,66.0,28.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,65.0,34.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,64.0,29.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,65.0,24.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,65.0,32.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,65.0,24.0,1.0,4.509930082924903,Dry Location,No
7.6111775206611565,56.0,32.0,5.0,4.509930082924903,Dry Location,No
7.6111775206611565,66.0,32.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,47.0,28.0,4.4474612602152455,7.0,Dry Location,No
7.6111775206611565,63.0,26.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,64.0,31.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,60.0,36.0,4.4474612602152455,2.0,Dry Location,No
7.6111775206611565,39.0,26.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,55.0,28.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,63.0,25.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,59.0,33.0,4.4474612602152455,6.0,Dry Location,Yes
7.6111775206611565,79.0,38.0,4.4474612602152455,2.0,Dry Location,No
7.6111775206611565,82.0,29.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,76.0,34.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,70.0,29.0,4.4474612602152455,4.509930082924903,Dry Location,No
7.6111775206611565,69.0,27.0,4.4474612602152455,1.0,Dry Location,Yes
7.6111775206611565,92.0,53.0,2.0,1.0,Dry Location,No
